Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Mamontov A.V., Nefedov V.N.","24484402300;27467565900;","Microwave method of the even temperature distribution in the volumetric materials",2013,"CriMiCo 2013 - 2013 23rd International Crimean Conference Microwave and Telecommunication Technology, Conference Proceedings",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891093281&partnerID=40&md5=f7df470dc61463d77bae1b7a8c85bbb6","Problems of the even temperature distribution creation in the volumetric materials with different dielectric losses placed in the beam-type microwave device are examined. The volumetric material was irradiated by two types of antennas which provided perpendicular and parallel flux direction of the electric-field vector relatively to the material's surface. Experimental data on the temperature field distribution in the volume of material is presented. It is shown that the total temperature dispersion is less than 5°C inside the material heated up to 80°C. © 2013 CriMiCo'2013 Organising Committee, CrSTC.",,"Electric field vectors; Material's surface; Microwave methods; Temperature field distribution; Total temperatures; Volumetric material; Dielectric losses; Materials; Microwave devices; Temperature distribution; Dispersions","Russian",Conference Paper,Scopus,2-s2.0-84891093281
"Mamontov A.V., Nazarov I.V., Nefedov V.N., Kravchenko N.P.","24484402300;56994097300;27467565900;7006522919;","Thermal treatment of the heat-insulating material with the use of microwave radiation",2013,"CriMiCo 2013 - 2013 23rd International Crimean Conference Microwave and Telecommunication Technology, Conference Proceedings",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891072844&partnerID=40&md5=8d7199ea23731161d63beee82443f05d","The experimental research results of the basalt cardboard thermal treatment with the microwave electromagnetic energy application are presented in the article. The weight change diagrams of the basalt cardboard samples during the drying process are given. Changes in the temperature behaviour are analyzed on the surface and inside the samples depending on coupling medium. An advice on the drying process parameters improvement is given. © 2013 CriMiCo'2013 Organising Committee, CrSTC.",,"Coupling medium; Drying process; Experimental research; Heat-insulating materials; Weight change; Basalt; Heat treatment; Microwaves","Russian",Conference Paper,Scopus,2-s2.0-84891072844
"Pchelnikov Yu.N., Yelizarov A.A., Shaymardanov R.V.","6603531328;7005491804;55650079800;","Plastic landmine detection by the slow wave structure-based sensor",2013,"CriMiCo 2013 - 2013 23rd International Crimean Conference Microwave and Telecommunication Technology, Conference Proceedings",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891116616&partnerID=40&md5=9c11db07533c96124413fa8a4020b76f","A sensor for detecting plastic explosives placed in the ground is presented in this paper. The detection effect is based on the intensive radiation from the section of a slow-wave structure at slowing down less than slowing of the light in the medium, i.e. in the soil at the place of possible laying of the mines. High effectiveness and small dimensions in comparison to the wavelength in free space and possibility of monitoring at a wide frequency band define its significant advantages in comparison to another devices for detecting explosives. © 2013 CriMiCo'2013 Organising Committee, CrSTC.",,"Detection effect; Free spaces; Plastic explosives; Plastic landmine detection; Slow wave; Structure-based; Wide frequency bands; Explosives; Frequency bands; Sensors; Slow light; Slow wave structures","English",Conference Paper,Scopus,2-s2.0-84891116616
"Pchelnikov Yu.N., Yelizarov A.A., Pchelnikov A.G.","6603531328;7005491804;55843238300;","Wireless charging mechanism for outdoor appliance",2013,"CriMiCo 2013 - 2013 23rd International Crimean Conference Microwave and Telecommunication Technology, Conference Proceedings",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891048190&partnerID=40&md5=fbd1331628808a5f1008e7620a789ff8","A portable wireless device for recharging batteries of vehicles is described in this paper. Application of novel, based on coupled radial spirals antennas with dimensions significantly less than the operating wavelength in free space, makes it possible effective pumping of RF energy without radiation into surrounding medium. © 2013 CriMiCo'2013 Organising Committee, CrSTC.",,"Free spaces; Operating wavelength; Portable wireless device; Rf energies; Wireless charging; Electric charge; Spiral antennas","English",Conference Paper,Scopus,2-s2.0-84891048190
"Martynov G.","8859466000;","Durbin-Knott Components and Transformations of the Cramér-von Mises Test",2013,"Statistical Models and Methods for Reliability and Survival Analysis",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926405723&doi=10.1002%2f9781118826805.ch8&partnerID=40&md5=69327264f805fe40435fb5ee8ed0c605","Durbin et al. have defined the independent components of the Cramér-von Mises statistic by using the Karhunen-Loève expansion of the empirical process. Studying the properties of the component was continued by Schoenefeld. This chapter considers the transformation of the weighted statistics using its components. These statistics allow one to change the test sensitivity of amplitudes and frequencies of deviations from the hypothetical distribution. The chapter discusses the collection of Karhunen-Loeve expansions. It also explains the statistics based on the components. Two new forms of the statistics are considered. The Anderson-Darling statistic is well known and widely used in practice. © ISTE Ltd 2014. All rights reserved.","Anderson-Darling statistic; Cramer-von Mises test; Durbin-Knott components; Power weight function; Weighted Cramér-von Mises statistic; Weighted parametric Cramér-von Mises statistic","Anderson-Darling statistics; Cramer-von Mises test; Durbin-Knott components; Von Mises; Weight functions; Statistics","English",Book Chapter,Scopus,2-s2.0-84926405723
"Gutnik L.A.","23489194800;","On a difference system for some mejer's functions",2013,"International Journal of Pure and Applied Mathematics",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890938697&doi=10.12732%2fijpam.v89i3.12&partnerID=40&md5=bb4d31d2f150ee633eabe114bdd4d1b7","We deduce a difference system and prove some of its properties, on base of which we found (see References) new continued fraction for Zeta(3). © 2013 Academic Publications, Ltd.","Difference system; Mejer's functions",,"English",Article,Scopus,2-s2.0-84890938697
"Landeo C.M., Nikitin M., Izmalkov S.","6506184646;15925928600;14524773600;","Incentives for care, litigation, and tort reform under self-serving bias",2013,"Research Handbook on Economic Models of Law",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039449948&doi=10.4337%2f9781781000151.00011&partnerID=40&md5=2d4180be38ff22b4480f804d8cfa1ef6",[краткое описание не найдено],,,"English",Book Chapter,Scopus,2-s2.0-85039449948
"Galitsky B., Ilvovsky D., Kuznetsov S., Strok F.","6603420071;55967196200;7202573378;55876566100;","Matching sets of parse trees for answering multi-sentence questions",2013,"International Conference Recent Advances in Natural Language Processing, RANLP",14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890536406&partnerID=40&md5=49f28abd27e1a1b143de6e6873fe47e8","The problem of answering multi-sentence questions is addressed in a number of products and services-related domains. A candidate set of answers, obtained by a keyword search, is re-ranked by matching the set of parse trees of an answer with that of the question. To do that, a graph representation and learning technique for parse structures for paragraphs of text have been developed. Parse Thicket (PT) as a set of syntactic parse trees augmented by a number of arcs for inter-sentence word-word relations such as co-reference and taxonomic relations is introduced. These arcs are also derived from other sources, including Speech Act and Rhetoric Structure theories. The proposed approach is subject to evaluation in the product search and recommendation domain, where search queries include multiple sentences. An open source plugin for SOLR is developed so that the proposed technology can be easily integrated with industrial search engines.",,"Candidate sets; Graph representation; Keyword search; Learning techniques; Open sources; Search queries; Structure theory; Syntactic parse tree; Natural language processing systems; Search engines; Forestry; Forestry; Languages; Processing; Systems","English",Conference Paper,Scopus,2-s2.0-84890536406
"Dmitriev M.G., Sachkov Y.L.","7101635971;6701439514;","Asymptotic solution of a singularly perturbed optimal control problem related to the reconstruction of a defective curve",2013,"Differential Equations",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890495679&doi=10.1134%2fS0012266113110037&partnerID=40&md5=49a44f073734e04d4c4d320f08dfde9d","The introduction of ""cheap"" controls for minimizing the simplest energy functional in an optimal control problem related to the reconstruction of a defective curve necessitates solving a singularly perturbed variational problem with fixed time and fixed ends. The construction of a uniform zero asymptotic approximation to the optimal control in the latter problem permits one to conclude that the optimal trajectories in the original optimal control problem combine a uniform motion in the interior of the time interval with rapid transition layers at the boundaries of the control interval. © 2013 Pleiades Publishing, Ltd.",,,"English",Article,Scopus,2-s2.0-84890495679
"Voronova L.I., Grigor'eva M.A., Voronov V.I., Trunov A.S.","57205929456;55965544700;7101821855;55964592400;","MD-SLAG-MELT software package for simulating the nanostructure and properties of multicomponent melts",2013,"Russian Metallurgy (Metally)",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890341577&doi=10.1134%2fS0036029513080156&partnerID=40&md5=7c5e39c69107fe239a4d8e2f8b627de6","The possibilities of computer experiments performed with the MD-SLAG-MELT v. 10.0 information-research system (IRS) with remote access are described. The main classes of mathematical models and methods and the sets of properties obtained in computer experiments are considered. An information model is developed for an oxide melt to study multidimensional composition-temperature-property-structure relations. A nanostructural model based on generalized graph network descriptors is considered in detail. The results of simulating the structure-sensitive properties of the SiO2-Na2O system using IRS are presented. © 2013 Pleiades Publishing, Ltd.",,"Computer experiment; Generalized graphs; Information Modeling; Model-based OPC; Multicomponents; Nanostructural; Remote access; Structure-sensitive properties; Mathematical models; Slags","English",Article,Scopus,2-s2.0-84890341577
