Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Barsukova S.","8881851000;","Informal practices of big business in the post-soviet period: From oligarchs to ""kings of state orders""",2019,"Demokratizatsiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064204717&partnerID=40&md5=72f79980e8e2a8ed26115beac2cebe5d","This article traces the transformation of informal relations between the government and big business due to the changing financial and administrative capabilities of the state, comparing the situations in the 1990s, 2000s, and 2010s. The oligarchic capitalism of the 1990s arose when a weak state was forced to seek the help of those with financial capital in exchange for political rights. Economic development in the 2000s, the budget surplus, and Putin's policies changed the situation: ""milking"" the country's budget and arranging ""payoffs"" became the main forms of informal cooperation between the government and business. However, the economic difficulties of the 2010s sharply aggravated competition for access to budget resources. Under the slogans of legalizing the economy and fighting corruption, the administration found new informal ways to manage and control big business, assigning the ""kings of government contracts"" to implement projects as a marker of loyalty to the President's administration and a precondition for continued business success. © 2018 Denver University Law Review. All Rights Reserved.",,,"English",Article,Scopus,2-s2.0-85064204717
"Inkina S.","57208525898;","Bureaucratic reform and Russian transition: the puzzles of policy-making process",2019,"Palgrave Communications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065024387&doi=10.1057%2fs41599-019-0238-5&partnerID=40&md5=89051b874d0d96144c7974025388782b","During the two decades of post-Soviet transition, Russia has created a complex system of civil service and public administration. This system was first reformed in the early 1990s and then again in the early 2000s. The analysis presented here fills a gap in the existing literature concerning the dynamic of change associated with Russian civil service reform (CSR). It is argued that the process of bureaucratic modernization in Russia is undermined by the ambivalent nature of policy leadership with its financial, administrative, and technical support, and the ongoing bargain among policy advocates and policy implementers. In order to account for the outcomes reached by policy-makers, the paper presents a detailed analysis of expert interviews collected by the author among research community specialists, federal legislators, and other participants in the reform. The discussion highlights the importance of power dynamics, which resolves conflicting views of CSR among policy formulators and policy implementers. The findings, which consist of identifying necessary and sufficient conditions of the change process, have implications for studies of modern Russian politics, states in regime transition, and world-wide modernization. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85065024387
"Maslova N.S., Arseyev P.I., Mantsevich V.N.","7005487950;6602441064;15926177300;","Probing and driving of spin and charge states in double quantum dot under the quench",2019,"Scientific Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062263007&doi=10.1038%2fs41598-019-40038-2&partnerID=40&md5=e957b9e2fcb36f85b04f709a6a7e358d","We have analyzed theoretically quenched dynamics of correlated double quantum dot (DQD) due to the switching “on” and “off” coupling to reservoirs. The possibility for controllable manipulation of charge and spin states in the double quantum dot was revealed and discussed. The proposed experimental scheme allows to prepare in DQD maximally entangled pure triplet state and to drive it to another entangled singlet state by tuning both applied bias and gate voltage. It was also demonstrated that the symmetry properties of the total system (double quantum dot coupled to electron reservoirs) allow to resolve the initially prepared two-electron states by detecting non-stationary spin-polarized currents flowing in both reservoirs and controlling the residual charge. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85062263007
"Panasyuk M., Klimov P., Svertilov S., Belov A., Bogomolov V., Bogomolov A., Garipov G., Iyudin A., Kaznacheeva M., Maksimov I., Minaev A., Novikov A., Minaev P., Petrov V., Pozanenko A., Shtunder Y., Yashin I.","7004962170;57201617705;6603995484;57191952482;56419583200;7005649770;6601959526;6701594034;57195359166;7102209814;57201615662;57191853532;35180144000;7402843448;6508296997;57202890102;6603852312;","Universat-SOCRAT multi-satellite project to study TLEs and TGFs",2019,"Progress in Earth and Planetary Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064568703&doi=10.1186%2fs40645-019-0280-3&partnerID=40&md5=7da28df3dffbed714ab26f5b3c076c8c","We present concept of a new multi-satellite Universat-SOCRAT project aimed to study transient phenomena in the upper atmosphere such as transient luminous events (TLEs) and terrestrial gamma-ray flashes (TGFs). It is a new space project of Lomonosov Moscow State University based on the use of a few satellites in the near-Earth orbit for real-time monitoring of radiation environment, natural (asteroids, meteoroids) and artificial (space debris) potentially dangerous objects, electromagnetic transients including cosmic gamma-ray bursts, terrestrial gamma-ray flashes, and optical and ultraviolet bursts in the Earth’s atmosphere.Study of TLEs and TGFs remains an important and demanding task despite of a multitude of recently acquired data for these phenomena. This might be explained by the absence of comprehensive theoretical understanding of physical nature of high-energy processes in the Earth’s atmosphere. Multi-wavelength synchronous observations with moderate accuracy of localization of TGF and TLE events are necessary to gain an insight of physics governing these high-energy processes in the Earth’s atmosphere. In the article, we present results of TLE observations in space experiments of Moscow State University and discuss advanced instruments for optical observations of TLEs, as well as gamma-ray burst monitor and tracking gamma spectrometer for TGFs observations.[Figure not available: see fulltext.] © 2019, The Author(s).","Electromagnetic transients; Imager; TGF; TLE; Track spectrometer",,"English",Article,Scopus,2-s2.0-85064568703
"Vishnyakova P.A., Tarasova N.V., Volodina M.A., Tsvirkun D.V., Sukhanova I.A., Kurchakova T.A., Kan N.E., Medzidova M.K., Sukhikh G.T., Vysokikh M.Y.","57190971385;56524166300;57193918275;23500138300;57192068373;57191958199;55933503000;57194172864;57208182746;6602218584;","Gestation age-associated dynamics of mitochondrial calcium uniporter subunits expression in feto-maternal complex at term and preterm delivery",2019,"Scientific Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063897844&doi=10.1038%2fs41598-019-41996-3&partnerID=40&md5=2cd106e7e755fc66bd4de8d446c6a653","Calcium plays a role of universal cellular regulator in the living cell and one of the crucial regulators of proper fetal development during gestation. Mitochondria are important for intracellular calcium handling and signaling. Mitochondrial calcium uniporter (mtCU) is a multiprotein complex of the mitochondrial inner membrane responsible for the transport of calcium to the mitochondrial matrix. In the present study, we analyzed the expression level of mtCU components in two parts of the feto-maternal system – placenta and myometrium at full-term delivery and at preterm birth (PTB) on different stages: 22–27, 28–32, 33–36 weeks of gestation (n = 50). A gradual increase of mRNA expression and changes in protein content of MCU and MICU1 subunits were revealed in the placenta during gestation. We also observed slower depolarization rate of isolated placental mitochondria induced by Ca2+ titration at PTB. In myometrium at PTB relative gene expression level of MCU, MCUb and SMDT1 increased as compared to full-term pregnancy, but the tendency to gradual increase of MCU protein simultaneous with MCUb increase and MICU1 decline was shown in gestational dynamics. Changes observed in the present study might be considered both natural dynamics as well as possible pathological mechanisms underlying preterm birth. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85063897844
"Backens S., Shnirman A., Makhlin Y.","57200011406;6603674816;7003487723;","Jordan–Wigner transformations for tree structures",2019,"Scientific Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061962908&doi=10.1038%2fs41598-018-38128-8&partnerID=40&md5=2387dc01819d4ca1b3d533210cba3a0a","The celebrated Jordan–Wigner transformation provides an efficient mapping between spin chains and fermionic systems in one dimension. Here we extend this spin–fermion mapping to arbitrary tree structures, which enables mapping between fermionic and spin systems with nearest-neighbor coupling. The mapping is achieved with the help of additional spins at the junctions between one-dimensional chains. This property allows for straightforward simulation of Majorana braiding in spin or qubit systems. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85061962908
"Dolgirev P.E., Kalenkov M.S., Zaikin A.D.","57190950184;6506989703;7103103279;","Interplay between Josephson and Aharonov-Bohm effects in Andreev interferometers",2019,"Scientific Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061032937&doi=10.1038%2fs41598-018-37653-w&partnerID=40&md5=8ee42cba1ca0375b352afdc0c4805c8c","Proximity induced quantum coherence of electrons in multi-terminal voltage-driven hybrid normal-superconducting nanostructures may result in a non-trivial interplay between topology-dependent Josephson and Aharonov-Bohm effects. We elucidate a trade-off between stimulation of the voltage-dependent Josephson current due to non-equilibrium effects and quantum dephasing of quasiparticles causing reduction of both Josephson and Aharonov-Bohm currents. We also predict phase-shifted quantum coherent oscillations of the induced electrostatic potential as a function of the externally applied magnetic flux. Our results may be employed for engineering superconducting nanocircuits with controlled quantum properties. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85061032937
"Volynsky P.E., Nolde D.E., Zakharova G.S., Palmer R.A., Tonevitsky A.G., Efremov R.G.","6602211610;6701372084;56651931700;7402726601;35584579500;8308626600;","Specific refolding pathway of viscumin A chain in membrane-like medium reveals a possible mechanism of toxin entry into cell",2019,"Scientific Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060369197&doi=10.1038%2fs41598-018-36310-6&partnerID=40&md5=26eca7b219726dc521be0f6227a3f8ab","How is a water-soluble globular protein able to spontaneously cross a cellular membrane? It is commonly accepted that it undergoes significant structural rearrangements on the lipid-water interface, thus acquiring membrane binding and penetration ability. In this study molecular dynamics (MD) simulations have been used to explore large-scale conformational changes of the globular viscumin A chain in a complex environment – comprising urea and chloroform/methanol (CHCl 3 /MeOH) mixture. Being well-packed in aqueous solution, viscumin A undergoes global structural rearrangements in both organic media. In urea, the protein is “swelling” and gradually loses its long-distance contacts, thus resembling the “molten globule” state. In CHCl 3 /MeOH, viscumin A is in effect turned “inside out”. This is accompanied with strengthening of the secondary structure and surface exposure of hydrophobic epitopes originally buried inside the globule. Resulting solvent-adapted models were further subjected to Monte Carlo simulations with an implicit hydrophobic slab membrane. In contrast to only a few point surface contacts in water and two short regions with weak protein-lipid interactions in urea, MD-derived structures in CHCl 3 /MeOH reveal multiple determinants of membrane interaction. Consequently it is now possible to propose a specific pathway for the structural adaptation of viscumin A with respect to the cell membrane – a probable first step of its translocation into cytoplasmic targets. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85060369197
"Kornilov S.A., Zhukova M.A., Ovchinnikova I.V., Golovanova I.V., Naumova O.Y., Logvinenko T.I., Davydova A.O., Petrov M.V., Chumakova M.A., Grigorenko E.L.","36917209100;56728110900;57206901782;57207762184;7004463538;57207778930;57207773046;57207761401;36800917400;7005318567;","Language Outcomes in Adults with a History of Institutionalization: Behavioral and Neurophysiological Characterization",2019,"Scientific Reports",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062868847&doi=10.1038%2fs41598-019-40007-9&partnerID=40&md5=e0818af1741369c0e2ef6e2626f3753d","Impoverished early care environments are associated with developmental deficits in children raised in institutional settings. Despite the accumulation of evidence regarding deficits in general cognitive functioning in this population, less is known about the impact of institutionalization on language development at the level of brain and behavior. We examined language outcomes in young adults and adolescents raised in institutions (n = 23) as compared to their socioeconomic status and age peers raised in biological families (n = 24) using a behavioral language assessment and linguistic event-related potentials (ERPs). Controlling for intelligence, adults with a history of institutionalization demonstrated deficits in lexical and grammatical development and spelling. Analyses of ERP data revealed significant group differences in the dynamic processing of linguistic stimuli. Adults with a history of institutionalization displayed reduced neural sensitivity to violations of word expectancy, leading to reduced condition effects for temporo-spatial factors that tentatively corresponded to the N200, P300/N400, and phonological mismatch negativity. The results suggest that language is a vulnerable domain in adults with a history of institutionalization, the deficits in which are not explained by general developmental delays, and point to the pivotal role of early linguistic environment in the development of the neural networks involved in language processing. © 2019, The Author(s).",,,"English",Article,Scopus,2-s2.0-85062868847
"Kim G., Kim S.-S., Jeon J., Yoon S.I., Hong S., Cho Y.J., Misra A., Ozdemir S., Yin J., Ghazaryan D., Holwill M., Mishchenko A., Andreeva D.V., Kim Y.-J., Jeong H.Y., Jang A.-R., Chung H.-J., Geim A.K., Novoselov K.S., Sohn B.-H., Shin H.S.","55428486500;57187388700;57190338757;56384728100;57189713781;57205472749;57197668620;57200192566;56669095200;57198352401;57197816748;25625173700;7004661735;57202143540;56463365400;54984009100;35072462000;7004967893;22135804300;7005650823;57001855500;","Author Correction: Planar and van der Waals heterostructures for vertical tunnelling single electron transistors (Nature Communications, (2019), 10, 1, (230), 10.1038/s41467-018-08227-1)",2019,"Nature Communications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062194991&doi=10.1038%2fs41467-019-08910-x&partnerID=40&md5=bf67498ff42be8556c19bed7a084badd","The original version of this Article contained an error in the spelling of the author Matthew Holwill, which was incorrectly given as Mathew Holwill. This has now been corrected in both the PDF and HTML versions of the Article. © 2019, The Author(s).",,"erratum; error","English",Erratum,Scopus,2-s2.0-85062194991
