Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Kanaeva N.A.","57195807290;","The influence of ritualistics and grammar on the paradigm of Sanskrit scholarship",2016,"Voprosy Filosofii",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030722658&partnerID=40&md5=0a54ec917d76b86e386653bd0142b1c1","The purpose of the article is systematization of the cognitive principles and norms of traditional knowledge, formed in India before epistemology and logic rose (up to the III century). The basis of the systematization is concept ""paradigm"". The paradigms of Indian traditional knowledge were the science of ritual (kalpa) and grammar (vyakarana). Just two sciences determined the contents and the architecture of texts for all traditional Indian sciences (vidyas and sastras) and philosophies (darsanas). Later the norms and forms of organization from two sciences were borrowed by Indian epistemological and logical theories. If we don't know the way of the construction of the logical-epistemological theory (pramana-vada) we are not able to understand the authentic meanings of its conceptions.","Darsana; Kalpa; Paradigm of Indian theoretical knowledge; Sastras; Transversal philosophy; Vyakarana",,"Russian",Article,Scopus,2-s2.0-85030722658
"Besschetnova E.V.","57195737021;","N. M. Karamzin: The origins of Russian enlightenment",2016,"Voprosy Filosofii",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030696148&partnerID=40&md5=b5aefbb11d13c5364bd89fa739e0bf8b","Nikolay Karamzin was a special person of his time. He was the first Russian traveler who went to the West not to learn, but to observe, he was the reformer of the Russian language, combining Russian identity with European words, and the first Russian historian, Russian ""Tacitus"". Karamzin, no doubt, has created a new type of Russian cultural person, which has come a long way to understand what means to be an enlightened individual.","Culture; Enlightenment; Freedom; Independence; Mind; Personality; Russia and Europe; State",,"Russian",Article,Scopus,2-s2.0-85030696148
"Kirsberg I.V.","57195837994;","Phenomenology of the religion of G. van der Leuw as a nonphenomenological pattern?",2016,"Voprosy Filosofii",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030694048&partnerID=40&md5=6364774a8e14871e4fa2eab7a320b0b4","The article shows none-phenomenological quality of G. van der Leeuw's Religionsphanomenologie and doubts thus in the quality of phenomenology in religious studies. His phenomenology is showed to be realized only as general understanding of humanities to stress the well-known cognitive ways (valuable neutrality, selection of facts, verification and hermeneutical circle) not only for knowledge but for faith, using pseudo-phenomenological knowledge as disguise. Thus Leeuw's conception from cognitive point of view is uncertain, it hesitates from science to theology.","Phenomenology of religion; Philosophical phenomenology; Thinking and feeling",,"Russian",Article,Scopus,2-s2.0-85030694048
"Zhukova O.A.","57195633740;","Reading Karamzin: Philosophical questions of Russian history",2016,"Voprosy Filosofii",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030660389&partnerID=40&md5=cd8f4d7b541fb0f6085d052efb596dca","""History of the Russian State"" is a unique phenomenon of Russian culture. Karamzin was the first who had the distinction of returning the flow of Russian history back, as it were, into the river-bed of national life. Through addressing the memory of the people, Karamzin has recreated Russian history within an aesthetic framework of the late Enlightenment and romanticism. According to Karamzin, ""History"" should rear moral and civil feelings of the Russian people through the study of past events, customs and cultural traditions. Through reading Karamzin, we can understand our native history as a living part of the nation's spiritual experience, thereby restoring historical consciousness in contemporary Russian society.","Cultural story; Historical consciousness; Moral philosophy; National; Patriotism; Philosophy of history",,"Russian",Review,Scopus,2-s2.0-85030660389
"Kantor V.K.","37095241800;","Karamzin: Self-knowledge, or Creation of European Russia",2016,"Voprosy Filosofii",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030659585&partnerID=40&md5=43e946240e21df5cbf87b031e2f6d8d5","Author examines one of the most important spiritual issues of growing Russian culture. Peter the Great has returned Russia to Europe as a military and political force. This cultural hero was a military and political builder. Needed was a second cultural hero - Russian builder of spiritual meanings. Incredible effort Karamzin, who gave Russian self-awareness and self-knowledge, which approved the European values in Russia meant that the second was a cultural hero - a creator of spiritual meanings. It can rightly be called a European Russian, paves the way for the development of a great culture.","A cultural hero; Europe; Karamzin; Pushkin; Russia; Russian European; Self-knowledge",,"Russian",Article,Scopus,2-s2.0-85030659585
"Palmer A., Phapale P., Chernyavsky I., Lavigne R., Fay D., Tarasov A., Kovalev V., Fuchser J., Nikolenko S., Pineau C., Becker M., Alexandrov T.","55030498200;24336467100;55531486200;16025182900;57191959292;57191961547;57191953927;6506501665;13608710100;7004677531;56711579400;26040516400;","FDR-controlled metabolite annotation for high-resolution imaging mass spectrometry",2016,"Nature Methods",39,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995450337&doi=10.1038%2fnmeth.4072&partnerID=40&md5=6dec78733bcb9595c12fe0274081c051","High-mass-resolution imaging mass spectrometry promises to localize hundreds of metabolites in tissues, cell cultures, and agar plates with cellular resolution, but it is hampered by the lack of bioinformatics tools for automated metabolite identification. We report pySM, a framework for false discovery rate (FDR)-controlled metabolite annotation at the level of the molecular sum formula, for high-mass-resolution imaging mass spectrometry (https://github.com/alexandrovteam/pySM). We introduce a metabolite-signal match score and a target-decoy FDR estimate for spatial metabolomics. © 2017 Nature America, Inc., part of Springer Nature. All rights reserved.",,"analytical parameters; Article; controlled study; electrospray; false discovery rate; mass spectrometry; matrix-assisted laser desorption-ionization mass spectrometry; measurement accuracy; metabolomics; neuroimaging; nonhuman; optical resolution; priority journal; animal; biology; brain; C57BL mouse; cytology; false positive result; female; liquid chromatography; mass spectrometry; metabolism; metabolome; metabolomics; molecular imaging; mouse; procedures; software; Animals; Brain; Chromatography, Liquid; Computational Biology; False Positive Reactions; Female; Mass Spectrometry; Metabolome; Metabolomics; Mice; Mice, Inbred C57BL; Molecular Imaging; Software","English",Article,Scopus,2-s2.0-84995450337
"Shcherbatenko M., Lobanov Y., Semenov A., Kovalyuk V., Korneev A., Ozhegov R., Kazakov A., Voronov B.M., Goltsman G.N.","56095501200;9333900400;56225432700;35778256000;7006297830;8309839000;40461784900;57200973381;7006771637;","Potential of a superconducting photon counter for heterodyne detection at the telecommunication wavelength",2016,"Optics Express",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009394769&doi=10.1364%2fOE.24.030474&partnerID=40&md5=2064c5a5316da7033b8ec556a3d2c90f","Here, we report on the successful operation of a NbN thin film superconducting nanowire single-photon detector (SNSPD) in a coherent mode (as a mixer) at the telecommunication wavelength of 1550 nm. Providing the local oscillator power of the order of a few picowatts, we were practically able to reach the quantum noise limited sensitivity. The intermediate frequency gain bandwidth (also referred to as response or conversion bandwidth) was limited by the spectral band of a single-photon response pulse of the detector, which is proportional to the detector size. We observed a gain bandwidth of 65 MHz and 140 MHz for 7 × 7 μm2 and 3 × 3 μm2 devices, respectively. A tiny amount of the required local oscillator power and wide gain and noise bandwidths, along with unnecessary low noise amplification, make this technology prominent for various applications, with the possibility for future development of a photon counting heterodyne-born large-scale array. © 2016 Optical Society of America.",,"Heterodyning; Particle beams; Photons; Quantum noise; Heterodyne detection; Intermediate frequencies; Large-scale arrays; Limited sensitivity; Local oscillator power; Low-noise amplification; Superconducting nanowire single photon detectors; Telecommunication wavelengths; Bandwidth","English",Article,Scopus,2-s2.0-85009394769
"Kolokolov I.V., Lebedev V.V.","7003722702;8971405800;","Velocity statistics inside coherent vortices generated by the inverse cascade of 2-DÂ turbulence",2016,"Journal of Fluid Mechanics",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028280115&doi=10.1017%2fjfm.2016.699&partnerID=40&md5=6c4caef35123a540151bcaaa407f03f9","We analyse velocity fluctuations inside coherent vortices generated as a result of the inverse cascade in the two-dimensional (2-D) turbulence in a finite box. As we demonstrated in Kolokolov & Lebedev (Phys. Rev. E, vol. 93, 2016, 033104), the universal velocity profile, established in Laurie et al. (Phys. Rev. Lett., vol. 113, 2014, 254503), corresponds to the passive regime of the flow fluctuations. This property enables one to calculate correlation functions of the velocity fluctuations in the universal region. We present the results of the calculations that demonstrate a non-trivial scaling of the structure function. In addition the calculations reveal strong anisotropy of the structure function. © 2016 Cambridge University.","general fluid mechanics; turbulence theory","Fluid mechanics; Turbulence; Vortex flow; Correlation function; Flow fluctuations; General fluid mechanics; Structure functions; Turbulence theory; Two Dimensional (2 D); Velocity fluctuations; Velocity statistics; Velocity; flow field; flow structure; flow velocity; fluid mechanics; numerical model; theoretical study; turbulence; two-dimensional flow; velocity profile; vorticity","English",Article,Scopus,2-s2.0-85028280115
"Avetisov V., Hovhannisyan M., Gorsky A., Nechaev S., Tamm M., Valba O.","35560504700;57188592526;56243552200;7006930329;7006098030;37100734000;","Eigenvalue tunneling and decay of quenched random network",2016,"Physical Review E",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007480295&doi=10.1103%2fPhysRevE.94.062313&partnerID=40&md5=4ec9d67186ea80c924133475ebd2abe3","We consider the canonical ensemble of N-vertex Erdos-Rényi (ER) random topological graphs with quenched vertex degree, and with fugacity μ for each closed triple of bonds. We claim complete defragmentation of large-N graphs into the collection of [p-1] almost full subgraphs (cliques) above critical fugacity, μc, where p is the ER bond formation probability. Evolution of the spectral density, ρ(λ), of the adjacency matrix with increasing μ leads to the formation of a multizonal support for μ>μc. Eigenvalue tunneling from the central zone to the side one means formation of a new clique in the defragmentation process. The adjacency matrix of the network ground state has a block-diagonal form, where the number of vertices in blocks fluctuates around the mean value Np. The spectral density of the whole network in this regime has triangular shape. We interpret the phenomena from the viewpoint of the conventional random matrix model and speculate about possible physical applications. © 2016 American Physical Society.",,"Ground state; Spectral density; Topology; Adjacency matrices; Bond formation; Canonical ensemble; De-fragmentation; Physical application; Random matrix model; Topological graphs; Triangular shapes; Eigenvalues and eigenfunctions","English",Article,Scopus,2-s2.0-85007480295
"Gambarato R.P., Medvedev S.A.","56039359500;57098823200;","Transmedia storytelling impact on government policy change",2016,"Politics, Protest, and Empowerment in Digital Spaces",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016349756&doi=10.4018%2f978-1-5225-1862-4.ch003&partnerID=40&md5=d9af3345ac659867b87bf8e1b655bdd9","This chapter discusses the impact of transmedia campaigns aimed at achieving a certain level of governmentpolicy change. Transmedia campaigns comprise a series of coordinated activities and organizedefforts designed to achieve a social, political, or commercial goal by means of multiple media platforms.The Great British Property Scandal and Food, Inc. transmedia campaigns are considered to introducethe argument that this kind of multiplatform campaigning can actually produce concrete results in thepolitical sphere. Moreover, this chapter focuses on the in-depth analysis of the transmedia strategiesof the Fish Fight campaign to demonstrate how exactly transmedia strategies collaborate to influencepolicy change. The research findings point to the effective role of transmedia storytelling strategies inraising awareness in the political sphere through public participation in supporting relevant issues,influencing policy change. © 2017 by IGI Global. All rights reserved.",,,"English",Book Chapter,Scopus,2-s2.0-85016349756
