Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Mikov A., Zamiatina E.","8917568900;56512131300;","Program tools and language for Network simulation and analysis",2014,"SDN and NFV: Next Generation of Computational  Infrastructure - 2014 International Science and Technology Conference - Modern Networking Technologies, MoNeTec  2014, Proceedings",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922576093&doi=10.1109%2fMoNeTeC.2014.6995591&partnerID=40&md5=54919ab4bba92d8a140422566fc2bd16","This paper considers software tools and linguistic constructions of the network simulator TRIADNS. Nowadays network applications - especially in the area of wireless networks - are becoming more and more complex which makes the design and the testing almost impossible without appropriate software. This software available to aid the user in simulating previously designed scenarios, scalable algorithms and changing structure of computer network. So it is necessary to have effective and flexible program tools for computer network design and simulation. Network simulator must design and investigate not only hardware, but software too, explore computer networks, considering in particular the specific characteristics of a variety of computer networks. Besides computer networks may include a lot of nodes. This paper discusses approaches allowing to decide the problems mentioned above: hierarchical model, using ontologies and Data Mining methods for the analyses of simulation results, using several computing nodes for computer network simulation (distributed and parallel simulation). © 2014 IEEE.","computer networks; Data Mining; distributed and parallel simulation; ontologies; routing algorithms; simulation","Application programs; Computer aided software engineering; Computer hardware; Computer networks; Data mining; Hierarchical systems; Network function virtualization; Ontology; Routing algorithms; Software testing; Changing structures; Data mining methods; Network applications; Network simulation; Network simulators; Parallel simulations; Scalable algorithms; simulation; Distributed computer systems","English",Conference Paper,Scopus,2-s2.0-84922576093
"Kukulin I.","36571921100;","'The golden age of Soviet Antiquity': Sovietisms in the discourse of left-wing political movements in post-Soviet Russia, 1991-2013",2014,"The Vernaculars of Communism: Language, Ideology and Power in the Soviet Union and Eastern Europe",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960533573&doi=10.4324%2f9781315762173&partnerID=40&md5=bcc219334467b044544f2b4a57ba27a1",[краткое описание не найдено],,,"English",Book Chapter,Scopus,2-s2.0-84960533573
"Talipova T.G., Pelinovsky E.N., Kurkin A.A., Kurkina O.E.","7004244713;7004951110;7003446660;36676379700;","Modeling the dynamics of intense internal waves on the shelf",2014,"Izvestiya - Atmospheric and Ocean Physics",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919717934&doi=10.1134%2fS0001433814060164&partnerID=40&md5=f238e32051e84a55d74d9c471ea03496","The transformation of the internal wave packet during its propagation over the shelf of Portugal was studied in the international experiment EU MAST II MORENA in 1994. This paper presents the results of modeling of the dynamics of this packet under hydrological conditions along the pathway of its propagation. The modeling was performed on the basis of the generalized Gardner-Ostrovskii equation, including inhomogeneous hydrological conditions, rotation of the Earth, and dissipation in the bottom boundary layer. We also discuss the results of the comparison of the observed and simulated forms and phases of individual waves in a packet at reference points. © Pleiades Publishing, Ltd., 2014.","Gardner equation; Internal waves; Shelf of Portugal; Transformation","internal wave; mathematical analysis; numerical model; shelf dynamics; wave modeling; wave propagation; Atlantic Ocean; Portuguese Shelf","English",Article,Scopus,2-s2.0-84919717934
"Régnier M., Furletova E., Yakovlev V., Roytberg M.","7006076708;55397606700;37015207100;6602080158;","Analysis of pattern overlaps and exact computation of P-values of pattern occurrences numbers: Case of Hidden Markov Models",2014,"Algorithms for Molecular Biology",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928652874&doi=10.1186%2fs13015-014-0025-1&partnerID=40&md5=66283e1aa6a617cf1db92265a6d70b90","Background: Finding new functional fragments in biological sequences is a challenging problem. Methods addressing this problem commonly search for clusters of pattern occurrences that are statistically significant. A measure of statistical significance is the P-value of a number of pattern occurrences, i.e. the probability to find at least S occurrences of words from a pattern H in a random text of length N generated according to a given probability model. All words of the pattern are supposed to be of same length. Results: We present a novel algorithm SUFPREF that computes an exact P-value for Hidden Markov models (HMM). The algorithm is based on recursive equations on text sets related to pattern occurrences; the equations can be used for any probability model. The algorithm inductively traverses a specific data structure, an overlap graph. The nodes of the graph are associated with the overlaps of words from H. The edges are associated to the prefix and suffix relations between overlaps. An originality of our data structure is that pattern H need not be explicitly represented in nodes or leaves. The algorithm relies on the Cartesian product of the overlap graph and the graph of HMM states; this approach is analogous to the automaton approach from JBCB 4: 553-569. The gain in size of SUFPREF data structure leads to significant improvements in space and time complexity compared to existent algorithms. The algorithm SufPref was implemented as a C++ program; the program can be used both as Web-server and a stand alone program for Linux and Windows. The program interface admits special formats to describe probability models of various types (HMM, Bernoulli, Markov); a pattern can be described with a list of words, a PSSM, a degenerate pattern or a word and a number of mismatches. It is available at http://server2.lpm.org.ru/bio/online/sf/. The program was applied to compare sensitivity and specificity of methods for TFBS prediction based on P-values computed for Bernoulli models, Markov models of orders one and two and HMMs. The experiments show that the methods have approximately the same qualities. © 2014 Regnier et al.","Hidden Markov model; P-value; Pattern occurrences; PSSM (PWM)",,"English",Article,Scopus,2-s2.0-84928652874
"You Z., Osipov Y., Bedrikovetsky P., Kuzmina L.","7102207937;7004957058;57203216627;56104145400;","Asymptotic model for deep bed filtration",2014,"Chemical Engineering Journal",42,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906060832&doi=10.1016%2fj.cej.2014.07.051&partnerID=40&md5=3ab31df28ac073c778dae2b5c7b13e00","Asymptotic solution for non-linear stage of colloidal suspension flow in porous media is developed. The expansion is performed behind the concentration front; the zero order approximation coincides with the short-time solution of the linearised system. Using the first order approximation allows significantly enhancing the validity time period for the analytical model if compared with the linearised solution, allowing using the long-term experimental breakthrough concentration history for the model adjustment. Laboratory injection tests for three size colloids are performed. The asymptotic solution is used to tune the model parameters from the breakthrough histories of two size particles; good quality of matching is observed. The breakthrough concentration history for the third size particles is compared with the prediction by the adjusted model; good quality prediction is observed. The above serves for validation of the asymptotic method for the model tuning and prediction of non-linear colloidal suspension flow in porous media. © 2014 Elsevier B.V.","Colloid; Deep bed filtration; Pore size distribution; Porous media; Size exclusion; Stochastic model","Colloids; Filtration; Forecasting; Pore size; Porous materials; Stochastic models; Pore size; Porous materials; Stochastic models; Asymptotic method; Asymptotic solutions; Colloidal suspensions; Deep bed filtration; First-order approximations; Quality prediction; Size exclusion; Zero-order approximation; Asymptotic model; Suspensions (fluids); Colloids","English",Article,Scopus,2-s2.0-84906060832
"Marten R., McIntyre D., Travassos C., Shishkin S., Longde W., Reddy S., Vega J.","55350979000;7102663964;6602183555;7102549939;56128283400;57206759287;7201629783;","An assessment of progress towards universal health coverage in Brazil, Russia, India, China, and South Africa (BRICS)",2014,"The Lancet",95,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917673107&doi=10.1016%2fS0140-6736%2814%2960075-1&partnerID=40&md5=5b67a52150f9f4294be5ff46b5ac2089","Brazil, Russia, India, China, and South Africa (BRICS) represent almost half the world's population, and all five national governments recently committed to work nationally, regionally, and globally to ensure that universal health coverage (UHC) is achieved. This analysis reviews national efforts to achieve UHC. With a broad range of health indicators, life expectancy (ranging from 53 years to 73 years), and mortality rate in children younger than 5 years (ranging from 10·3 to 44·6 deaths per 1000 livebirths), a review of progress in each of the BRICS countries shows that each has some way to go before achieving UHC. The BRICS countries show substantial, and often similar, challenges in moving towards UHC. On the basis of a review of each country, the most pressing problems are: raising insufficient public spending; stewarding mixed private and public health systems; ensuring equity; meeting the demands for more human resources; managing changing demographics and disease burdens; and addressing the social determinants of health. Increases in public funding can be used to show how BRICS health ministries could accelerate progress to achieve UHC. Although all the BRICS countries have devoted increased resources to health, the biggest increase has been in China, which was probably facilitated by China's rapid economic growth. However, the BRICS country with the second highest economic growth, India, has had the least improvement in public funding for health. Future research to understand such different levels of prioritisation of the health sector in these countries could be useful. Similarly, the role of strategic purchasing in working with powerful private sectors, the effect of federal structures, and the implications of investment in primary health care as a foundation for UHC could be explored. These issues could serve as the basis on which BRICS countries focus their efforts to share ideas and strategies. © 2014 Elsevier Ltd.",,"Article; Brazil; childhood mortality; China; demography; economic development; funding; health care cost; health care policy; health care system; health insurance; human; India; life expectancy; primary health care; public health; Russian Federation; social determinants of health; South Africa; total quality management; universal health coverage; economics; health care delivery; health care financing; health care policy; insurance; organization and management; statistics and numerical data; Brazil; China; Delivery of Health Care; Health Care Reform; Healthcare Financing; Humans; India; Russia; South Africa; Universal Coverage","English",Note,Scopus,2-s2.0-84917673107
"Chugunov A.O., Volynsky P.E., Krylov N.A., Boldyrev I.A., Efremov R.G.","34569445900;6602211610;26534407300;6602076018;8308626600;","Liquid but durable: Molecular dynamics simulations explain the unique properties of archaeal-like membranes",2014,"Scientific Reports",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948460072&doi=10.1038%2fsrep07462&partnerID=40&md5=5e6d1e773cdb1656d09b09d76480d80d","Archaeal plasma membranes appear to be extremely durable and almost impermeable to water and ions, in contrast to the membranes of Bacteria and Eucaryota. Additionally, they remain liquid within a temperature range of 0-100°C. These are the properties that have most likely determined the evolutionary fate of Archaea, and it may be possible for bionanotechnology to adopt these from nature. In this work, we use molecular dynamics simulations to assess at the atomistic level the structure and dynamics of a series of model archaeal membranes with lipids that have tetraether chemical nature and ""branched"" hydrophobic tails. We conclude that the branched structure defines dense packing and low water permeability of archaeal-like membranes, while at the same time ensuring a liquid-crystalline state, which is vital for living cells. This makes tetraether lipid systems promising in bionanotechnology and material science, namely for design of new and unique membrane nanosystems.",,"artificial membrane; lipid bilayer; membrane lipid; water; archaeon; artificial membrane; biophysics; cell membrane; chemistry; lipid bilayer; metabolism; molecular dynamics; Archaea; Biophysical Phenomena; Cell Membrane; Lipid Bilayers; Membrane Lipids; Membranes, Artificial; Molecular Dynamics Simulation; Water","English",Article,Scopus,2-s2.0-84948460072
"Smith W.C.","56082106000;","The global transformation toward testing for accountability [A mudança global para exames de responsabilização] [La transformación global hacia los exámenes de rendición de cuentas]",2014,"Education Policy Analysis Archives",24,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937573648&doi=10.14507%2fepaa.v22.1571&partnerID=40&md5=c2e3e086869133fcdf42efac1b180ef8","To ensure equal access to high quality education, the global expansion of universal basic education has included accountability measures in the form of academic tests. Presently the majority of countries participate in national testing; however, the past two decades have seen a substantial shift in test characteristics and aims. This article investigates the global transformation toward testing for accountability, where intentional or unintentional positive or negative consequences are applied to educators (teachers and administrators) based on their student’s test scores, in light of the emerging global culture, identified by World Culture theorists. Elements of the world culture – including the expansion of western education models, an emphasis on academic intelligence, faith in science as a rational path to truth, and the decentralization of authority to the local level – justify the establishment of testing for accountability systems. Descriptive evidence from regional and international datasets, such as PISA, PIRLS, and TIMSS, illustrate the speed at which this transformation occurs. The convergence of countries toward testing for accountability and its position as an increasingly normative policy lever is illustrated in brief vignettes from the diverse systems of Hungary, Mexico, and South Korea. As testing for accountability becomes embedded in the world culture as a legitimate tool for education reform it is less prone to critical reflection. If the potential benefits and concerns of testing for accountability, outlined in this article, are not thoughtfully evaluated this global transformation will lead to a testing culture that is internalized as normative and adopted as individual values. © 2014, Arizona State University. All rights reserved.","Accountability; Education policy; Globalization; New right; Testing; World culture",,"English",Article,Scopus,2-s2.0-84937573648
"Sanina A. G.","36469087400;","Visual political irony in Russian new media",2014,"Discourse, Context and Media",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971260890&doi=10.1016%2fj.dcm.2014.05.003&partnerID=40&md5=bf198bc964a59a1c912486dd03d83f8d","In modern Russia, official political discourse is routinely confronted by challenges from internet-based means of communication. Novel forms of political dialog have become widespread in new media, especially in terms of dialog initiated by ""ordinary"" people, who use irony and visual images to express their dissatisfaction with politicians' activities. This study suggests the characteristics of a special aspect of a computer-mediated political discourse in Russia. It demonstrates contextual and instrumental features of a visual political irony in new media based on a case study of the LiveJournal Internet community ""Potsreotizm"". An analysis of the instruments that members of this Internet community use to create visual irony leads to the conclusion that in the virtual space, myths and concepts created by the political elite are being constantly interpreted with the help of irony and humor, and people increasingly treat these myths and concepts critically at the level of daily social routine. Reflection, context and visual representation, which are necessary to create ironical discourse, offer original vocabularies for organizing public dialog within new media. Community members' worldviews are not preordained by the state but are shaped by cultural, social and cognitive processes in virtual forms of communication. © 2014 Elsevier Ltd.","Internet community; New media; Russian political discourse; Visual irony",,"English",Article,Scopus,2-s2.0-84971260890
"Tovar-García E.D.","55421102000;","Market discipline: A review of the Mexican deposit market",2014,"Latin American Economic Review",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957539531&doi=10.1007%2fs40503-014-0006-2&partnerID=40&md5=3d22b00b6a21e570d3063142ed12397f","This paper studies the mechanisms of market discipline in the Mexican deposit market. It tests the hypothesis that low-quality banks pay higher interest rates on deposits, receive fewer deposits, and shift their deposit agreements from long to short term. This hypothesis was assessed with positive evidence in Mexico during the period 1991-1996, but was not checked again. This research uses a dynamic panel model and a sample of 37 banks from December 2008 to September 2012 to re-evaluate the market discipline hypothesis. The findings suggest a weak presence of discipline induced by depositors. Principally, market discipline is absent within market sectors. © 2014 The Author(s).","Bank risk; Deposit market; Market discipline; Mexico",,"English",Review,Scopus,2-s2.0-84957539531
